category,url
email,http://regexlib.com/DisplayPatterns.aspx?cattabindex=0&categoryId=1&p=1
email,http://regexlib.com/DisplayPatterns.aspx?cattabindex=0&categoryId=1&p=2
uri,http://regexlib.com/DisplayPatterns.aspx?cattabindex=1&categoryId=2&p=1
uri,http://regexlib.com/DisplayPatterns.aspx?cattabindex=1&categoryId=2&p=2
uri,http://regexlib.com/DisplayPatterns.aspx?cattabindex=1&categoryId=2&p=3
uri,http://regexlib.com/DisplayPatterns.aspx?cattabindex=1&categoryId=2&p=4
numbers,http://regexlib.com/DisplayPatterns.aspx?cattabindex=2&categoryId=3&p=1
numbers,http://regexlib.com/DisplayPatterns.aspx?cattabindex=2&categoryId=3&p=2
numbers,http://regexlib.com/DisplayPatterns.aspx?cattabindex=2&categoryId=3&p=3
numbers,http://regexlib.com/DisplayPatterns.aspx?cattabindex=2&categoryId=3&p=4
numbers,http://regexlib.com/DisplayPatterns.aspx?cattabindex=2&categoryId=3&p=5
numbers,http://regexlib.com/DisplayPatterns.aspx?cattabindex=2&categoryId=3&p=6
strings,http://regexlib.com/DisplayPatterns.aspx?cattabindex=3&categoryId=4&p=1
strings,http://regexlib.com/DisplayPatterns.aspx?cattabindex=3&categoryId=4&p=2
strings,http://regexlib.com/DisplayPatterns.aspx?cattabindex=3&categoryId=4&p=3
strings,http://regexlib.com/DisplayPatterns.aspx?cattabindex=3&categoryId=4&p=4
strings,http://regexlib.com/DisplayPatterns.aspx?cattabindex=3&categoryId=4&p=5
dates_and_times,http://regexlib.com/DisplayPatterns.aspx?cattabindex=4&categoryId=5&p=1
dates_and_times,http://regexlib.com/DisplayPatterns.aspx?cattabindex=4&categoryId=5&p=2
dates_and_times,http://regexlib.com/DisplayPatterns.aspx?cattabindex=4&categoryId=5&p=3
dates_and_times,http://regexlib.com/DisplayPatterns.aspx?cattabindex=4&categoryId=5&p=4
dates_and_times,http://regexlib.com/DisplayPatterns.aspx?cattabindex=4&categoryId=5&p=5
dates_and_times,http://regexlib.com/DisplayPatterns.aspx?cattabindex=4&categoryId=5&p=6
dates_and_times,http://regexlib.com/DisplayPatterns.aspx?cattabindex=4&categoryId=5&p=7
address_or_phone,http://regexlib.com/DisplayPatterns.aspx?cattabindex=6&categoryId=7&p=1
address_or_phone,http://regexlib.com/DisplayPatterns.aspx?cattabindex=6&categoryId=7&p=2
address_or_phone,http://regexlib.com/DisplayPatterns.aspx?cattabindex=6&categoryId=7&p=3
address_or_phone,http://regexlib.com/DisplayPatterns.aspx?cattabindex=6&categoryId=7&p=4
address_or_phone,http://regexlib.com/DisplayPatterns.aspx?cattabindex=6&categoryId=7&p=5
address_or_phone,http://regexlib.com/DisplayPatterns.aspx?cattabindex=6&categoryId=7&p=6
misc,http://regexlib.com/DisplayPatterns.aspx?cattabindex=5&categoryId=6&p=1
misc,http://regexlib.com/DisplayPatterns.aspx?cattabindex=5&categoryId=6&p=2
misc,http://regexlib.com/DisplayPatterns.aspx?cattabindex=5&categoryId=6&p=3
misc,http://regexlib.com/DisplayPatterns.aspx?cattabindex=5&categoryId=6&p=4
misc,http://regexlib.com/DisplayPatterns.aspx?cattabindex=5&categoryId=6&p=5
misc,http://regexlib.com/DisplayPatterns.aspx?cattabindex=5&categoryId=6&p=6
misc,http://regexlib.com/DisplayPatterns.aspx?cattabindex=5&categoryId=6&p=7
misc,http://regexlib.com/DisplayPatterns.aspx?cattabindex=5&categoryId=6&p=8
misc,http://regexlib.com/DisplayPatterns.aspx?cattabindex=5&categoryId=6&p=9
markup_or_code,http://regexlib.com/DisplayPatterns.aspx?cattabindex=7&categoryId=8&p=1
markup_or_code,http://regexlib.com/DisplayPatterns.aspx?cattabindex=7&categoryId=8&p=2
markup_or_code,http://regexlib.com/DisplayPatterns.aspx?cattabindex=7&categoryId=8&p=3
markup_or_code,http://regexlib.com/DisplayPatterns.aspx?cattabindex=7&categoryId=8&p=4
